Username,Comment
RanGer_MeRah ,"semenjak lepas dari belenggu partai banteng , senyum pak Jokowi sangat tulus"
Hokkystore27 ,"padahal pak jokowi presiden yg ngk mandang kasta masyarakat ny,kok bisa ya ada org yg gak suka beliau,pdhl klihatan beliau org yg tulus🥰"
🧠 ,"Direndahkan oleh manusia tapi ditinggikan oleh Yang Maha Kuasa
Sehat selalu Pak Presiden Jokowi"
Nurul mamaAra ,"smpe bungkuk bapak mikir negoro😭😭 pdhal dulu beliau bawaanya ngelawak humoris sekali, sekarang nampak tua😭
sehat sehat ya pak"
babyJk🐰 ,bener² pak jokowi setengah hidupnya buat jadi pemimpin😭dari jadi walikota sampe presiden gada jedanya lagi😭
Deshi ,baru ni nangisin presiden yg mo pensiun..sehat selalu bapak 🥰
amalia_winoldi ,"gak peduli org mau bilang apa tentang pak Jokowi, tetap beliau satu2 nya presiden yg slalu ada di hati ini"
sadarjiwa · Creator,Benar
yunie yuni08 ,hutang negara skrg tambah sedikit berkat pak Jokowi dan pengeluaran negara selalu menghemat untuk bantuan masyarakat jalan jalan dan sebaginya the best
user51402866486 ,harus nya pak jokowi jd presiden RI seumur hidup pasti indonesia akan maju dan rakyatnya sejahtera smua betul apa betul
feb__ ,"Alasan knpa 02 menang hampir seluruh indo mungkin hanya itu kami berterima kasih lewat anak bapk atas jasa2 pak jokowi slama ini, semoga suatu saat gibran bisa jd presiden yg luar biasa kyk pak jokowi"
ndanda170517 ,"kykynya aku bkln susah move on, atau mungkin ga akan pernah bisa. krn cintaku habis di pa jokowi 😭😭"
sadarjiwa · Creator,😭
kyrasofie ,doain gue bisa foto sama pak jokowi guyss pliss😭 soalnya bapak bakalan ke kota gue hari rabu ini😭 terakhir presiden kebdaerah gue tuh pak suharto aja😭
I jaya ,gak berharap bansos atau bantuan tunai apapun..cuma nunggu Indonesia jadi lebih baik..lebih maju☺️sehat selalu presiden ku 🥰
Kƴ🐧 ,seumur hidupku presiden terbaik adalah beliu🥺 gak tau kenapa tiap ada fyp vt beliau pengin nangis terus salut sama sabarnya beliau🥺 terimaksih untuk dua periode yang hebat pak❤️🥺
MariaTheTortieCat ,"hanya di era Jokowi bisa ngerasain gelaran Asian Games,Pildun kelompok umur,terus punya MRT sedihnya harus lengser..sehat terus pak"
Picaaa. — ,jokowi dicintai rakyatnya🥹🖤
RaraDivira ,"aku cuma mau bilag trimkaasih bpak, di saad covid ,gaji suami seadanya..., anak hrus oprsi, kita nggak punya uang, tp bantuan itu turun di saad anak"
kloasal ,"terima kasih ya pak buat kerja keras mu selama ini membangun negeri ini menjadi lebih baik🥹🙏🏻🫶🏻🥰 sehat"" terus ya pak🙏🏻😇🥹🫶🏻"
D'vhie ,"lelah mu, keikhlasan mu, pengorbanan serta perjuangan mu Insyaallah akan membawa mu ke Surga pak 😭😭😭"
sembilanbelasmei ,"Pak, termikasih telah menjadi presiden terbaik kami. Semoga Allah selalu beri Bapak kesehatan, yg benci biarlah membenci tapi ketulusan bapak untuk negeri ini sangat terasa dihati kami pak ❤🥺"
Anne Calista ,"tak peduli sama orang yg membencinya,Jokowi ttp dicintai SM rakyat"
Novita Sari ,Jujur politik dimasamu luar biasa pak 🔥❤ sunggu menarik 🔥🔥 yg orang berfikiran minus sampai akhirnya terkuak bahwa anda sungguh mulia luar biasa❤
🇮🇩 A•Ⓜ️•RR•A 🇮🇩 ,"ORANGNYA BIASA--BIASA SAJA,
TAPI TAKDIRNYA LUAR BIASA, Sehat selalu Pak Jokowi beserta Istri 🤲🏻 aamiin ..."
sukmatrisnawati ,pak jokowi 🥺🥺 terima kasih atas pengorbananmu untuk indonesia semoga bapak sehat dan dalam lindungan Allah Swt Aamiin Yaa Robalallamiin
Bazzi魅 ,the real naruto 🥺 dulu di benci sekarang dia di cintai semua rakyatnya 🫶🏻🫶🏻🫶🏻
BORTA SHOP ,"2 kali pemilu ak tetap memilih beliau, di era gempuran adu domba sana sini,dan selama 10 thn ak merasakan Sosok pemimpin Negara, yg bsa kupanggil dng lapang BAPAK. sehat selalu Bapak Kami"
Arwanda Siddik ,"sudah cukup 10 tahun pengabdian sebagai Presiden, sudah waktunya Pak Jokowi istirahat
terima kasih 10 tahunnya Pak Jokowi, semoga lelah beliau jadi berkah, doa orang baik akan selalu menyertai"
🌻 ,sehat sehat ya bpak jokowi dan ibu iriana 🥰 terimakasih untuk semua usaha bapak selama ini 🥰🌻
yaaa ,@gibran_rakabuming ka kamu beruntung punya aya hebat seperti beliau semoga kalian skluarga allah beri lindungan dari setiap marabahaya sehat dan bahgia dunia akhirat berkah selalu aamiin🥺❤
kinara🪐 ,"era bapak sudah mau selesai, selamat beristirahat dan menikmati masa tua di kota solo pak, sehat selalu untuk presiden ri 2014-2024 🥹🫶🏻"
sadarjiwa · Creator,😇😇
tikapryni_ ,bapakkkkk sehat sehat terusss ya pakkkkkkkkkk🤗♥️
sadarjiwa · Creator,"Aamin,cek vt terbaru😇"
Cally Chelsea Imanue ,"inget mas gibran ke papua, dan ke pasar beli sesuatu sama mama2 papua tidak boleh bayar (khusus anak bapak jokowi tdk usah bayar) segitu cintanya rakyt papua sama bapak 🥰🥰🥰"
aksesoris bumi ,"alhamdulillah lewat program pkh bapak jokowi bulan ini dapet 1 jta,, trmakasih bpk...."
Icetea🌾 ,"pak. bapak ibuk aku selalu bangga menceritakan bapak dan keluarga bapak, bahkan ke3 putra putri bapak saat menikah mereka sangat exited untuk mengikuti. tiba saatnya pemilu kemarin, rasa bangga nya"
dara ,YA ALLAH AKU UDAH MELALUI DIMULAI PRESIDEN PAK.HARTO SAMPAI.PAK.JOKOWI ...HANYA PAK JOKOWI YG BETUL2 PRESIDEN YG TULUS SEMUA U NEGARA RI ..LOVE PAKKK🥰🥰
gelsy 🥰😇 ,prsden sdrhana 🥰 penampilan sdrhana 🥰 berakhlak mulia 🥰 love u pak Jokowi 🥰
Ayu Puspita ,terimakasih bapak.. dan semoga sehat panjang umur sekeluarga bapak.. kami rakyatmu mencintaimu..
sadarjiwa · Creator,🫡
I T A ,"Rasanya sudah tidak bisa berkata-kata untuk segala kebaikan beliau, hanya bisa berdoa, semoga selalu di berikan kesehatan dan panjg umur Pak Jokowi🥰"
det_85 ,aq akan selalu menjadi garda pling depan jika ada yg memjahatimu pak semoga bpk sehat selalu
sadarjiwa · Creator,😇🔥
ERKAZ ,"Terima Kasih Pak Jokowi, sekarang saya makin paham niat baik Bapak untuk Bangsa Indonesia, tenang Pak, yg berhati nurani & nasionalis pasti menyayangimu. 🤍🇮🇩🕊️"
kartizon ,"maaf kan aku pak Jokowi, karena aku terlambat mengenal dirimu dan diakhir jabatan mu , baru aku merasakan cintamu kepada rakyat begitu besar pak😢😢😭😭😭"
sadarjiwa · Creator,🫡🫡
Kutungan ,🥰🥰🥰 Sehat selalu pak dan ibu 🤗
aku siapa? ,pak terimakasih atas pengabdian bapak kepada negeri ini selama 10 thn saya sangt bersyukur tumbuh di era kepimpinan bapak semoga sehat & panjang umur.
susi baelah ,"terima kasih pak,, doaku semoga pak Jokowi sekeluarga sehat selalu dan selalu di lindungi ALLAH SWT di manapun berada, Aamiin Ya rabbal Alamiin🤲🤲🤲🤲🤲"
sadarjiwa · Creator,Aamin
Nengkz Ririn Maminya Qianu ,kenapa secinta ini Q sama bapak JOKOWI 😘..setiap postingan beliau lewat pasti nangis..sedih..melihat beliau begitu sederhananya..sehat selalu buat bapak JOKOWI dan keluarga🥰🤲
Cerita hati ,"Bapak kesayangan 😭😭❤️❤️Ya Allah Bapak😭,apa besok jika sdh di solo,BPK masih berkenan menerima kami rakyat mu ini pak..walau hanya sekedar berkunjung,bpk😭😭❤️❤️"
Sixtwotwentytwo ,nama pak jokowi harum banget woi🔥
Trisia ,Pak Jokowi Presiden TERBAIK INDONESIA
120.69.8_ ,Pak semoga suata saat saya diberi kesempatan sama Tuhan biar bisa belajar banyak tentang sabar dan juga belajar cara berpolitik yg baik
Duaputra16Shop ,"entah knp orang "" membenci bapak.. tapi Q memilih bapak 2 periode, kalo boleh 3 periode pasti Q pilih Bpk lagi. sehat sll bapak,"
Lisa Bahtiar ,"dari semua mantan2 peresiden indonesia.
cuma ke pak jokowi gw salut bgt.
terimakasih sudah memimpin indonesia dgn baik.
ternyata bukan cuma atlet2 yg mengharumkan indonesia di luar negeri, bpk jga sma"
Ihwan ,"Selamat menikmati masa"" purna tugas sebagai Presiden pak jokowi, terimakasih susah senangnya menjdi Presiden 10 tahun ini"
Kezia84🦂 ,"Baru kali ini Presiden kita slalu mau dirangkul tanganNy sama presiden negara lain.. biasaNy kek org marahan jauh²an 🤭 Masya Allah pak Jokowi sehat² sllu yaa,, Negara lain bangga sama bapa apalagi sy"
D 🔱 ,nama jokowi akan selalu di kenang dan gibran adalah cerminan dari kebaikan jokowi kepada
siscawilly ,"Di Bln yg suci ini, saya selalu berdoa utk kedua ortu dan keluarga saya pak, dan jg sy khususkan utkmu Pak Jokowi,, semoga ttp kuat, sabar, ikhlas apapun rintangan yg dilalui, ttp sehat& smangat pak❤"
lownjin ,"dewasa di era pk jokowi nyesek bngt mau mulai tergantikan, sehat2 bapak you are the best🥺🙌"
nana khoiru ,"engkau akan terlihat kurang di mata yang membencimu,tapi bagiku bagi kami yang mencintaimu bapak presiden jokowi bahkan menceritakan dirimu kami menitikan airmata.sehat terus bapak 🙏"
Susanti ™💦 ,"pak capek pak 10th nangisin bapak dr jauh...
sehat sehat pokoknya, banyak pahala yg bapak dapat dari pesaing2 bapak 🥰🥰"
debbystellaputri ,bagiku pak jokowi tetap presiden terbaik tidak ada gantinya 🥰
Vitrii ,sp yg taro bawang dsni😭
Panadi Mahardika ,presiden Jokowi tetap yang terbaik
Bunga Minanti100 ,"Maaf ya pak.. Dulu saya pernah ngga suka sama bpk, karna hasutan dari orang lain... Padahal dri dlm lubuk hati saya... Saya liat senyum bpk.. Itu seperti senyum bpk saya... Senyum orang yg tulus,, 😥"
blackcherry ,Pak Jokowi belahan jiwa Indonesia 🔥🔥🔥
Nayla Santi ,"sedih pas Bpk jokowi bilang mau mnjalani hidup d kota Solo sbgai rakyat biasa 😭😭, sehat selalu pak jokowi 🤲😍"
Arkha emoy ,"sumpahh masi blum rela pak jokowi pensiun🥺
presiden ter love ter the best😍💕"
Shimu ,Seandainya cuma 1 rakyat yg cinta sama bapak percayalah itu saya pak 😭
MeowTheCat ,Pengen nnti pas bapak purnatugas. Bkin pawaai massal bawa tulisan TERIMAKASIH BAPAK HJ. Ir. Jokowi Dodo 🥰
🌼.14d@h.🌼 ,"setelah sekian lama ada presiden RI sangat dicintai rakyatnya & tak rela digantikan, rakyat nya sedih berpisah dr presiden tercinta 😢"
rizkaputri ,"Presiden yg di eluh2 kan mempunyai kinerja yg sangat luar biasa untuk bangsa nya , bahkan saat saya tinggal d malaysia bnyak yg mengagumi mu pak 🥹"
s ,makasih pak Jokowi udah peduli sama rakyat papua dan udah bangun tol lintas sumatera 😭
miaa ,"knpa sih presiden harus di ganti"" 😭 , aku cape nangis karna pa jokowi bentar lagi udh ga jadi presiden"
isirn ,Inget bgt waktu pertamakali ketemu pak jokowi di soloparagon pengen bgt minta foto keadaan pass aku hamil besar desak desakan trs akhirnya dia mau foto sama aku dan ngelus perut aku sambil ngedoain 🥰
vemilovitamutiara ,"Terimakasih pa terimakasih buat pelajaran sabar nya dan kerja keras nya untuk bangsa ini ,Sehat sehat Presiden ku 🙏🤲"
aku ya aku ,sesek bgt mau di tinggal bapak jokowi🥺😭
@rena.tok ,Presiden terbaikku yg selalu memikirkan rakyat nya. Semoga Allah selalu melindungi bp Jokowi sekeluarga &sehat selalu ya bpk Negarawan membela NKRI. Rasanya klo melihat bp mau purna rasanya nyesek😭😭
user9479381861530 ,Jejak2 kebaikanmu. akan selalu terkenang di hati kami Bp Ir H Jokowi sehat selalu 💪🤲🙏🇮🇩
S. Gz ⛅️✨️ ,sedihnya mau ganti presiden karna pak jokowi sebaik itu. tapi alhamdulillah penggantinya jg ga kalah baik dari beliau🥰
Inara Shop ,"terimakasih 10 tahunnya, kecil bersama SBY proses pendewasaan bersama pakde jokowi ☺️"
IntanPermata ,"Hatur nuhun bapa Jokowi...
abdi reueus ka bapa,abdi urang Sunda,mikaheman ka bapa...abdi nya'ah ka bapa..mugia dipaparin Sagala rupi kasarean ti Gusti Allah..aamiin..🤲♥️♥️🇮🇩🇮🇩"
user8381035501192 ,Paaak Presidenku Jokowi...Terimah kasih🙏🙏🙏🙏🥰🥰🥰
mekafershop ,"bapak
cuma mau bilang terimakasih, jasamu perjuangan mu yg gak banyak orang tau untuk negara ini sangat besar meskipun banyak yang gak suka sama prestasimu
istirahat lah bersama keluargamu pak"
Lisna Indri ,"di benci tidak membuatmu tumbang,, di puji tidak membuatmu terbang...
sehat selalu Presidenku, sy rakyat yg mencintaimu dan kagum atas prestasi kerjamu Bpak🥰🥰🥰"
kambang malati ,"entahlah org kata, sehat2 ya, terimakasih sdh mengabdi untuk Indonesia, khususnya daerah timur😭, adikku sampe kuliah gratis, ank ku sekolah baru smp, sd jg gratis"
Nia santoso ,badan boleh kecil tp kinerja dan nyali bileh di adu sehat2 ya pak jokowi
Uniq ,Terimakasih Pak Jokowi kerja kerasmu Membangun Indonesia tidak akan saya lupakan akan ku ceritakan kebaikan bapak ke anak cucuku nanti
miss.ella ,"besok pak Jokowi berkunjung ke daerah ku, Kerinci jambi. semoga paj Jokowi dan rombongan selamat sampa kerinci"
anastasiaroliyah ,Meski aku bukan peneroma bansos..tpi sangat bangga pada bpk Jokowi...tulus .rendah hati .Presiden terbaik .panjang umur.sehat selalu bpk Jokowi.🙏🙏
I Love You ,Siapa yg naruh Bawang Merah sekilo di Sini woiii😭😭😭
Cayoongi092193🌼 ,"makasih bwt bpjsnya pa, saya & Almh. Ibu saya turut merasakan program bapa, sehat2 nggih Pa 🥰🙂"
suga86🐱 ,sehat selalu bapak dan keluarga ..presiden yg gk prnh tergantikan dihati rakyat yg menyayangi mu 🥰
@isdha ❤️ ,bismillahirrahmanirrahim sehat sll pak ... setiab lht bpk saya sll meneteskan air mata . kagum dan bangga. slm dari wong Jogja 🙏🥰
wulannn˚ ༘♡ ⋆｡˚ ❀ ,"bapak terima kasih banyak ya, 10 tahunmu sudah menjadikan Indonesia lebih dikenal dunia, selamat menikmati masa tua mu ya paa, lihat Indonesia nanti akan banyak Generasi Emas berkat anakmu❤"
shisio 86 ,pak...nanti saya akan minta seniman untuk mensketsa wajah bapak dan prabowo dan saya ditengahnya🥰..hasil sketsa itu akan saya pajang dikamar🥰
Wulan Dari ,Bapak sehat selalu nggeh 🥰🥰🥰...bapak sudah berjuang terlalu jauh dan begitu berat buat negeri ini... terimakasih dari hati yg terdalam.... semoga sehat selalu 🥰🥰🥰
Bambang AB ,Asal liat Pak Jokowi... mau nangis aja bawakan nya... Presiden yg Sangat Sayang sama Wong Cilik... Presiden Idolaku
ester_carinah ,Salam sehat selalu untuk Bp Jokowi dan Klg. Aamiin.. 🤲🙏🏻🥰
anabulgemoiii ,Semoga bapak jokowi d berikan kesehatan selalu Aamiin 🙏🏻
iNayShopping ,"gak tau kok gw sedih 🥹🥹 sbentr lg masa jabatan'y akan berakhir.. Presiden terbaik 🇲🇨 Bpk Jokowi 🤍🥰
beruntung aku merasakan kepemimpinan beliau , sehat selalu Bpk Jokowi sekeluarga 🤲😍"
alfian6050 ,pak presiden kalo nnti bapak pulang ke Solo jangan lupa lewat Pekalongan dan Batang kami siap menyambut bapak sepanjang jalan untuk bapak jokowi 🥺🥺🥰🥰
Kasih sayang ,"Love Pak Jokowi ♥️sehat panjang umur berkah selalu, Bapak 🤲😭♥️"
🔥 ,"makasih yah pakde jokowi sehat terus sekeluarga, kamu adalah sosok ayah yang kami cintai dinegeri ini terimakasih atas kepemimpinan bpk yang tulus untuk negeri ini 🙏"
Hestiriashop ,"Sehat selalu ya bapak, saya salah satu dari ratusan juta rakyat yang akan selalu mendoakan bapak yang terbaik. Sehat selalu ya bapak Jokowi 🥹"
M Nazil97 ,bakal kangen foto pak Jokowi di kelas😊😊
Selir Hati'mu💜🇮🇩🇵🇸👍✔️.. ,"Matur nuwun Pak De Owi, atas 10 taun'nya tulus tuk NKRI 🙏🌹💜👍🇮🇩..
😩😦😞😥😢😢😢😭😭🙏🇮🇩.."
Rokhmah Isni Dewi ,Pakdhe….😇
aira ,pak engkau pemimpin yang selalu saya kenang❤️😘
melonmanis🍈 ,Baru kali ini presiden usai dr jabatannya menangis bgt🥺🥺
yura ,sehat terus ia pak aamiin
sep denz (knowz) ,"smoga allah membalas semua kebaikan yg yg tlh kau berikan buat nkri
smoga pragib bs melanjutkan cita ""muliamu buat nkri
ammiihh"
Cacha cheesecake ,"jujur masih ga rela pak, tapi disisi lain ingin bapak kumpul dgn keluarga sy yakin bapak perlu mengistirahat diri walau sy tau bapak sosok yg kuat dan gk pernah ngeluh demi rakyat😥"
asfiyani74 ,bapak ... semoga sehat selalu 🥺
𝓝 ,bapak presiden akuuu🤗
Fjrr ,kok ada ya orang yg benci sama nih orang yg sebaik ini?
00:01 pm_ ,Perjalananmu sudah hampir selesai pak. Terima kasih atas dedikasimu untuk Bangsa ini.🙏🙏
kelvintiara ,Sehat selalu bapak 🙏
AzziraNia ,"pak😭😭😭
sehat selalu ya pak🤲🤲🤲"
iniiwidee ,sehat selalu bapakk🫶🏻🥹
🤡🫶🏼 ,pak jokowi sebenernya lelah bgt bgt2 tpi dia tau kepentingan rakyat itu yg utama😭😭😭 sehat terus pak❤️
Nana Rosmana Shienda ,"Belum prnah ketemu langsung sama bapak , tp sayang banget sama bapak jokowi sehat terus bapak terima kasih atas kerja keras bapak untuk indonesia maju😭♥️♥️"
Yuri_Bocor😁 ,sehat selalu pak Jokowi ♥️♥️
Marala Jalarambang ,sehat selalu Pak Presiden Jokowi... Aamiin
anita ,semoga mas Gibran.... fotokopy Pak Jokowi.... sehat sll Pak... doa terbaik utkmu Pak
Sri puji Astuti ,love you ful pak Jokowi 🙏🙏👍👍💪💪🥰🥰🥰🥰
cat ,mirip mas gibran
Davina Britania ,i love you full pak jokowi 👍🥰🥰🥰🥰
Dewi i2594 ,pak presiden joko widodo.. Moga sehat selalu panjang umur y
Youviequotes ,"saya bolak balik kantor aja lelah, capek gimana pak Jokowi yg mikirin negara. sehat terus dan panjang umur pak Presiden ku"
amiii. ,semoga Allah selalu menjagamu pak...dimanapun dan kapanpun...love you pak Jokowi🥰
firdi_roni ,pade jokowi selalu tetap dihatiku amiin
erymayahanjaya ,orang hebat kmu pak Jokowi...tolongbkasi tau sya dimna beli tas Kya BPK...
Fara Yoana ,"Sehat selalu pak, setiap vt pak jokowi lewat slalu ikut mewek😭"
Vm12 ,ya allah saya sangat mencintai bpk jokowi
nanto ,pemimpin sederhana tapi berkualitas tahan banting mantap pk Jokowi sehat selalu🥰♥️
srigati ,Semoga bapak Presiden Jokowi dan keluarga sehat selalu dan panjang umur nya 🤲🤲🤲❤❤❤
🧚‍♀️ ,Sayang banyak buat bapak jokowi❤️semoga tuhan selalu melindungi bapak dimanapun berada🥹🫶🏻
⋆.°🦋༘⋆ ,pak jokowi debes
Ratna waty trig ,kami sayang bpk jokowi ☺☺☺🙏🙏🙏
Suplementari_ajah ,Kenapa ya pak jokowi gak pernah pakai kaca mata hitam waktu kelapangan
Alexander Lahope ,semoga pak jokowi dapat di beri panjang umur slalu iya dan semoga pak jokowi di beri kekuatan slalu tiap hari nya itu iya oleh tuhan yang maha esa 🙏
Buket ,tumbuh dewasa bersama pak Jokowi
giya ,"""1 kata untuk pak Jokowi "", tentang pak Jokowi tidak cukup jika hanya 1 kata 100 kata pun tda akan cukup bila tentang pak jokowi, sehat selalu pak🥺"
yangtie ,"Salam Hormat 🙏🙏
Presidenku
Bpk Joko Widodo
Sehat Slalu Bapak 🙏🙏"
fakoherembafako ,"Assalamu Alaikum, selamat pagi pak presiden Jokowi tetap semangat dan teruslah bahagia bersama keluarga besar pak 🙏🙏🙏🙏"
Rukiah ,apa alasan aku pilih 02 karena mas gibra anak pak jokowi
Rohman ,sehat selalu presiden terbaiku
don't worry ,sehat selalu presiden ku
m abbas sugondo ,"semoga
sehat terus pak presiden Indonesia terbaik jokowi, salam dari wonosobo kaliwiro."
It'sMeDina🥀 ,big love bapak Jokowi 🥺
Gunaone3003 ,siapapun presidennya kita harus mencintai karena sudah ada suratan takdir dan campur tangan sang kuasa..sehat selalu pak Jokowi 🥰
atiati525 ,semoga BPK Jokowi slalu di berikan kesehatan
Nonci Bawie ,sehat sehat selalu ya pak ...Aamiin.✌️✌️
Candy Floo ,Satu kalimat buat bapak untuk bapak jokowi saya sangat menjunjung tinggi jasa selama bapak menjabat di indonesia ❤️i love you bapak president indonesia ❤️
maha ,"sehat slalu ya pak Jokowi,slalu semangat🙏🙏"
🌷🦋 ,"subhanallah semoga pak jokowi sehat terus,presiden yg paling sederhana,rendah hati,semoga bahagia terus presiden idolaku."
rinawulandari007 ,presiden indonesia bapak jokowi berhati mulya and emas?love bunda iriana..
Mei ,love you PAK JOKOWI....
Rasjie ,Ngga rela di tinggal bpk jokowi tercinta😭
Rudy DAENK ,"sehat,Ki selalu pak 😥"
megaken4 ,sehat sehat pak jokowi♥️🥰
sulistyani ,"suka terharu kalo liat vt pak jokowi, nangis banget ko ada ya orang yg ga suka 😭"
Zainab Kebo ,keren banget bpk presidenku bpk joko widodo
DANIAZ MLG ,Sehat sehat bapak Jokowi..🙏🏻
novieaviana ,pa Jokowi BLH MTA tlg GK cuma minta knp pa Nadiem hps Pramuka dan seragam sekolah mau diganti kalau memang grtsbkmi rkyt terima kasih tp kalau byr tlg pikirkan LGI pa 🥺🥺 mending Nadiem nya diganti k
ᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ ,"@kinara🪐:era bapak sudah mau selesai, selamat beristirahat dan menikmati masa tua di kota solo pak, sehat selalu untuk presiden ri 2014-2024 🥹🫶🏻"
"ariyah,010258 ",sehat sehat selalu bpk jokowi allah selalu bersama mu
Imam Zulkifli ,sehat selalu bapak jokowi..
irawati ,tetaplah tersenyum bapak
Ifa Ayu947 ,Pak Jokowi is the best ♥️♥️♥️... presiden kebanggaan ku ♥️♥️♥️
Sela Sela ,😭😭😭😭😭sehat selalu pak Jokowi
ilmasari ilmasari ,Rela Tidur Cmn 2 Jam Hanya Demi Rakyatnya🥺😭
ogangk ,"Sehat sehat ya pak Jokowi, tetap terbaik🌹"
mbak_Liss ,semestinya kita harus banga ama bpk jokowi
ΔL ⓕⓐⓝⓣⓐⓢⓨ ,"semua coment kalian membuat terharu 😭,, sehat selalu pa Jokowi presiden terbaik sepanjang masa 🥰"
meee ,"Bapak presiden Jokowi malaikat kami yg ada di dunia
sehat selalu panjang'umur😭😭😭"
Asparrr ,Masa Remajaku tumbuh bersama pak jokowi🥺
Diah99 ,bpkkkk😭😭😭😭in masih pagi jgn bkin mewekkkk tryzzzz
sudi ,Mugi langgeng dan sehat panjang umur 🙏patut di jadikan contoh untuk para pemimpin Istiqomah 🤲
astuti🇲🇨🇹🇼 ,"andai bisa qu pinta , ingin selamanya BPK Jokowi ajj yg jd Presiden nya😭😭🥰🥰"
BundaAtuntkwmalaysiastory ,aku rakyatmu masih merindukanya pak jokowi😭 berat diyinggalkan semoga sehat selalu untukmu bapak dan ibu iriana🥰👌
BundaAtuntkwmalaysiastory ,semoga tetap sehat pak jokowi dan ibu iriana🥰👌
kaumRebahan ,"pak jokowi itu wajah nya bapak indonesia banget.. sederhana ,apa adanya .. syg bapak banyak banyak"
_ell ,"Tuhan berikan Beliau umur yang panjang, Terimakasih atas semua jasaMu Bapak Presiden RI terbaik sepanjang masa❤️🫂🥺🙏😇"
Sri Rahayu ,sehat selalu pak Jokowi..we love u full
Auliya zoe ,terimakasih pak jokowi
Riski kiki ,sehat selalu presidenku..🥰
user5889544666692 ,semoga PK Jokowi skluarga sehat selalu aamiin
Boboho 732012 ,bapak yang baik menghasil kam anak yg baik dan sholeh semoga bapak dan ibu sehat terus aamiin yrb...
herlyn ,terima kasih pak jokowi...sehat dan bahagia selalu bersama keluarga👍
RusdaTosan ,MasyaAllah Alhamdulillah.. tks Allah.. Indonesia kau beri Presiden yg cerdas berakhlak mulia dan sngt mncintai rakyatnya.. selamatkn selalu dimnapun Pa jokowi berada Aamiin
Oh Laku ,tiap liat vt Pak Jokowi gak tau knpa pasti nangis 🥺
Scaprilia ,bantuan di era jokowi bener2 banyak🥺
Scorpio🦋 ,Ya Tuhan lindungilah dan jauhkanlah Pak Jokowi dari marabahaya😭😭🙏
neomu neomu lonely ,sehat selalu bapak Jokowi saya akan terus mendukung anda💗💗
Sibukkerja_ ,"Presiden paling tulus setulus tulusnya dan kerja nyata , sht sllu bpk🥀🥀"
Ani Sah040669 ,pak jokowi ibarat sebagai malaikat penjaga NKRI dan rakyat indonesia..hinga akhir jabatanya bekerja keras
Sagitarius 👩‍🎓 ,tenang pak anakmu @Gibran Rakabuming dan pak @kosong.dua.official akan melanjutkan perjuanganmu pak🥺🥺
Urang Sangka ,"bapak setulus itu, semoga sehat2 selalu ya pak. terima kasih 2 periodenya pak. kami bangga 🥰"
🖤AN🖤 ,kesayangan bapak presiden Jokowi sehat selalu 🌹🌹🌹🌹🌹
WIRR ,i love u jokowi
gervbjhy SH h ,"sehat "" selalu ya pak Jokowi kami sebagai rakyat Indonesia sangat bangga mempunyai persiden seperti mu pak...."
Kartika Sari5873 ,terimakasih pak Jokowi.....semoga sehat selalu🥰🥰
yiniisahrini ,liat pak jokowi tuh bawaan nya pengen nangis mulu dia tuh baik banget sederhana banget 😊
luka di 2023 ,"seluruh keluarga ku emang betul kupaksa untuk memilih 02 ,tanpa Gibran saya gak berani memaksa ,tpi dgan adanya Gibran insyaallah negri ini tetep dalam pantauan pak jokowi"
RV inem 🤘❤️ ,"sehat selalu, panjang umur BPK Jokowi 🙏🙏💪💪💪"
who am i? ,sehat dan sukses selalu kagem bpk Jokowi sekeluarga
ghea ,"ya Allah knpa sllu nangis klau liat BPK Jokowi,,, mewekkk terus sehat terus ya bpak presidenku,,, sungguh beliau orang hebat🙏🙏🙏"
Mawar Melati ,Sehat Selalu Pk De Jokowi Bersama Keluarga 🤲🤲Lelahmu Membawa Berkah Bagi Semuahnya 🤲🤲👌👌❤️❤️❤️❤️
wayan🌸🌸 ,pak jokowi kecil orangnya tapi jasanya sangat hebat buat kita semua💪
laras ,sht selalu pajang umur y BPK Jokowi persiden kita amin
Hariaty Sihombingg ,Apapun tentang pak jokowi rasanya pengen nangisss ❤️❤️❤️❤️sehat selalu pak ❤️
Susucapbendera ,Banyak Presiden yang baik tapi hanya Pak Jokowi yang dicintai dengan tulus oleh rakyatnya 🥰
17 February ,"Ramadhan tahun ini menjadi pelepas pak jokowi menjabat di akhir"" jabatan nya sebagai pemimpin semoga Indonesia semakin maju sesuai impian pak jokowi 😭🙏"
Jangan Panggil Aku Wiryo ,Matur Suwun Pakde Jokowi..sampun mengabdi kanthi ikhlas 🙏
Denis Denis ,semoga sehat selalu pak
GEMOOOYYY ,dari awal support dan dukung bapak ini yakin banget bahwa Indonesia bisa keren di pimpin oleh bapak presiden Jokowi
sitimawar276 ,sehat sll pak jokowi
SumiAti ,"Satu - satunya presiden terbaik yg pernah ada di Indonesia,Bpk Jokowi sll di hati rakyat Indonesia"
Indri Savira ,pa jokowi presiden terbaik RI
Shyvlr ,"terimakasih bapak atas kinerjanya selama 10 tahun ini, sehat² bapak jokowi❤❤❤"
Zoya ,gw dulu ga milih Jokowi tp skrg mau berakhir kok sedih ya 🥺
sasha ,presiden terbaikkk indonesia!!
